,day,result,label
10,2016-01-25,adam publicli dissent major dev attack joke govern notic final caught miss chanc thing late bitcointalk fan bitcointalk ignor will bitcointalk intent explicit effort basic censor dev dev author author thing develop idea govern choos blindli develop caus haven worst human thing thing essenti nbsp human emot logic held world given hope chang disagre delusion suspect lose think hard forward joke financi lower censor inform altern betray play public chang consid joke grab fli real enemi expect decentr account forum play public chang get satoshi luck ask public extrem 200 dev altern major act discuss commun discuss form troll respons worst work bitcointalk satoshi bitcointalk end blocksiz machin public develop current discuss en 2016 late dev forward help posit chanc aren suspect will attitud motiv ignor count forum dick hard push thing sound autocrat will intent explicit posit awkward form fix influenc chang eventu level link link bitcointalk block inform polici level self happi justifi larg public forum heavi,0
11,2016-01-26,polici link haven easi caught chang exampl shouldn inform help help develop count group blocksiz satoshi moment thing assum censor matter altern especi wors face child real caught fuck chang multipl couldn financi dev invest market valu major fuck longer huge fuck basic longer manipul messag creator messag compos insan fuck,0
12,2016-01-27,dev push bash real life world censor oppos adam basic censor maxwel,1
13,2016-02-01,fuck,1
14,2016-02-08,,0
15,2016-02-11,let guy click link end justifi advic block block ad thing block differ block chang equip camp link dunno real aren fail googl play futur miss hold will close fuck guy shouldn matter origin mobil featur final watch explan explan problem messag compos messag delet messag compos delet messag delet biggest public highlight direct exampl favor technolog listen listen manner push downvot downvot usual korea biggest inform troll effort maxwel hard block state block claim 2016 financi despit emot decis larg man hold extra market coin coin eventu major extra block hot disrespect hey coin held play downvot interestingli forum exampl effort onlin wors luke jr intend,0
16,2016-02-12,self fuck fuck fuck fuck target edit matter chang equip like equip filter fuck let attack financi blockchain 1000 gain valu worth huge list get motiv gain work block 2016 dev,1
17,2016-02-14,forward author surpris intent satoshi,1
18,2016-02-25,real decentr satoshi happi blocksiz blocksiz limit multipl block dev limit work given valu final forward move happi featur goal goal biggest fight thing check game direct end develop develop develop develop satoshi satoshi fuck satoshi thing love start familiar blocker mind dev matter limit dev haven held posit take heard voic autocrat 2016 wors messag creator messag compos hard dev ask group advic posit author forum dev ask publicli eventu hard necessari discuss easi basic research increas count blocksiz blocksiz thing ha decis get dev highli assum dev dev familiar hope featur help dev suspect hard develop public month given valu blockchain month lower technic matter sound fun sound solid work fast blocksiz limit hold adam concis will limit futur asap layer fuck goal satoshi multipl 2016 forward love multipl intent futur aren convinc especi consid impress happi hope start happi matter satoshi adam love block worth mail dev faq en 12 increas faq mail straight forward question block will given,1
19,2016-02-26,blockchain aren forum chanc forum basic matter coin mechan dev basi larg larg 2016 block blockchain imo 2016 help check accur biggest futur hide inform dude day dev take 2016 end chang decis guy commun man fun dev listen like hard door blocksiz increas hard featur dev real fli fli goal limit achiev goal valu public larg bleep bloop start footer link totesmesseng messag totesmesseng watch love da question weak block block hope love blockchain asap forum close honest work mind avenu longer express problem goal mail goal asap happi limit work layer fuck worst valu happi final futur guy forward satoshi korea miss forward govern hard like histori limit break coupl larg consid market satoshi will develop public fulli like help 1000 sound eli5 limit,1
20,2016-02-27,exampl necessarili thing contract necessarili level driven decentr listen work live world ahead come contract sound blockchain bleep bloop work self close footer link totesmesseng messag totesmesseng real ask public chang public work face sound event blocksiz chang expect origin ask hard problem legal dollar blocksiz increas chang listen brilliant hate biggest major current push ln blocksiz chang despit chang exampl work narrow hit delet custom bring differ increas featur hurt address forward hard block thing current motiv ln ln chanc matter block block individu hard given coin elabor bleep bloop dev footer link totesmesseng messag totesmesseng aren market knowledg increas push system market close ask local convinc worth learn think blockchain matter anymor approach ignor internet discuss,1
21,2016-02-28,problem problem coupl mention googl contract contract respons govern work insid,1
22,2016-02-29,edit listen ad edit edit 12 listen happen matter claim edit form,1
23,2016-03-04,hard declin declin left shouldn downvot shouldn sound sound design coupl help valu happen expect limit block chang block imho vote chang ignor satoshi believ coin market logic coin coin coin luke jr ad decis moment internet gave gave fairli explain technolog technolog forum get ask final worth happen effect market likewis luke jr sound man forward form develop will help blocksiz limit take bunch discuss vote day vote favor vote guy allow form develop will help happen late worth mislead larg posit ask passiv worst longer worst ha forgotten highli real forward dr origin happen satoshi work biggest develop futur help work faq theori messag watch haven ad choos mislead get real individu develop end andresen goal hard skill love world financi think ask worth brilliant genuin given built game earli bs broke disast larg ignor doubt develop major addit develop potenti real govern mention market declin group develop posit technolog mind heard potenti like ad list accur imo asap hey,0
24,2016-03-05,basi mess aspect die ignor moment coin thing realiz differ group luke jr miss love current coin guy luke jr chang differ delusion like hard hard thing happen event moment like major 2016 happen satoshi happen satoshi messag creator messag compos 1000 altern suspect work thing end problem valu problem get realiz censor build help target blockchain hard necessarili luke jr world decentr effect catch differ valu effort fast serious coin die hope end luke familiar exampl left imo 2016 block improv differ satoshi internet hard hard hope huge mess luke worst develop hard die decentr valu valu valu 1000 miss mind idea suppos month invest buy thing delusion valu ignor role 1000 luke work human thing appropri wors given skill judgment design worst like lot hope blocksiz differ like forward solid camp will hard fail convinc will basic blocksiz accur 200 coin month month fall 12 coin 200 coin develop middl close huge major come day basic given fix fast respons larg effort shouldn thing differ dev differ form start highli differ chang world miss level group especi mitig futur differ bunch futur chang lock posit necessari world enemi final mind attent dev malici ignor mess mud mess suspect eventu attack listen attempt push market man innov technolog group develop function system help goal logic logic left public major like fund forward month correct skill futur end voic matter common doubt claim dev maxwel skill skill jr magic bs current voic futur world huge camp limit driven help list chang remov easi explain fuck chang chang hard question question question question couldn anymor form chanc chanc final huge ahead end broke like notic address real chang coupl build ahead thing common real differ form world commun idea commun differ theori thing current mislead valu fix love appear develop skill develop develop attitud build address problem think develop experi knowledg skill major extra fund block allow blockchain effect block block plu cesspool fuck crazi govern attitud hot consid care end solid block valu left start design origin limit measur satoshi theori end hard financi like remov dev valu chang thing certain valu chanc,0
25,2016-03-06,hey man bs,1
26,2016-03-12,messag heard differ differ multipl build nbsp major final satoshi mind vote thing forgotten mail anymor insult byte byte internet block block mind legal govern legal develop essenti illeg world corrupt intent publicli commun month late couldn check luke jr ln correct downvot factual public level guy expos think role multipl late nbsp doubt mind happen hellobitcoinworld chang 12 claim correct thing function grow layer caught author appropri govern right common play catch real thing consid hellobitcoinworld ad inform certain guy mind aren discuss develop hard fund altern dev fail altern admit wors crazi wors current guy adam technolog multipl featur help form eventu miss tend end involv month real limit chang larg oppos intent chang limit chang blocksiz futur blocksiz limit get guy contract fight limit work fight anymor oppos system intent chang featur market exampl bleep bloop footer link totesmesseng messag totesmesseng attack stop hard exampl gox messag creator messag compos 2016 basi monitor ask creator messag blockchain blockchain blocksiz limit chang address address haven day aren address chang address day insult help blocker serious system luke jr self fulli moment mind layer origin satoshi layer fail goal fail like layer accord respons public polici experi internet polici right technolog govern world experi knowledg system public polici lead public polici sticki ln public messag differ forum intend factual thing hellobitcoinworld baseless claim bleep bloop buttcoin goal forward launch ln like start buttcoin footer link totesmesseng messag totesmesseng deepli offens score chanc establish mind differ listen chang coupl blocksiz haven develop develop end ask public futur highli invest futur luke jr publicli messag public technolog luke jr messag hide fuck bs public call messag public moral get straight sound futur funni address problem act start realiz dude direct chanc fund bs driven experi hellobitcoinworld think direct messag forum love technolog attack attack biggest call commun hey like caus chang larg thing happi work downvot factual public level ln aren blocksiz aren petti matter basic grow mind thing ln altern,0
27,2016-03-13,system intent oppos system intent day intent work work fast group mind think differ correct get delet messag ln game work easi motiv commun inform ask intent hard hard troll oppos system intent system intent hard blockchain differ differ system insan level ego entir thing form caus develop chang origin individu group develop late blocksiz limit attack blocksiz fix public earli work work work aren work work fast downvot correct doubt downvot defend start downvot hostil invest 1000 gain huge help effect imo level help posit camp dev ln ln choos dev attitud suppos dev commun fall market happen public hey dr haven da larg mention claim public push hard limit limit dev commun final public decentr market decis level influenc consid potenti like influenc get form limit call claim public differ imo korea korea especi korea joke blocksiz attack work fight anymor posit explan honest honest grow start honest fail honest agreement honest limit longer origin joke histori hope haven honest honest honest grow start fail adam fli mirror limit weak given eye eye effort matter advic limit explicit limit like limit longer claim disagre blocksiz limit appear forward haven limit hard differ admit haven consid ad necessari origin limit necessarili intend featur chang featur claim blocksiz limit chang like mislead choos controversi origin claim given ad origin definit claim dev limit financi satoshi limit block current chang blockchain chang chang cryptographi consid correct work block ignor block discuss case necessari hold anymor posit origin block downvot individu plu demonstr honest limit attack limit block dead left altern origin block honest origin limit consid correct work block attempt origin appear origin block life blocksiz block verifi limit attack limit block block dead dead ask miss push favour matter achiev fund hold matter exampl world matter claim financi gain aren attack biggest korea maxwel larg origin larg exact late satoshi form intend late essenti end develop start develop fund develop dollar start gain dollar tend dollar basi basi heard futur bs public like blocksiz limit block start start consid solid thing certain end downvot ad valu ask correct block work ln frame realiz differ click differ huge huge commun public real effect respons mind messag fund fuck end feet work longer entir basic entir bring world form eventu help public goal ln dead insan differ level blockchain technolog area develop individu function freedom public larg exact appear late come market algo happi thing get hot valu biggest camp dev matter fan mind begin gain influenc face current problem lead futur forum correct problem ego ahead imho increas posit dev posit crazi limit increas middl friendli day especi technolog altern block anymor satoshi gave fuck start work fuck entir solid gov contract help grow anymor develop develop dev heard fund decentr fund develop hellobitcoinworld build mention forward come block camp camp ask exampl hard fund matter increas posit posit downvot real guy allow,1
28,2016-03-14,fast heard research check petti real question entir blocksiz increas bring featur ad blocksiz joke listen petti real delusion think real blocksiz current work correct longer exampl technolog bu hard shorter think,1
29,2016-03-15,develop,1
30,2016-03-18,,0
31,2016-05-02,consid satoshi necessarili like like satoshi mind satoshi satoshi man call funni satoshi problem come satoshi adam dude huge fan adam allow satoshi adam invent satoshi ad day satoshi messag author author ask human buy miss individu ask human verifi claim np brows articl haha like coin caus satoshi coin satoshi highli come satoshi coin coin push come ask ask expos human life ask satoshi bunch satoshi end satoshi satoshi earli day attack ask thing month dealt crap posit posit left technolog matter satoshi move author destruct author author start spread futur satoshi satoshi coin thing like question malici commonli call common man learn histori late catch real satoshi author biggest author fan fan fairli weak creator author futur help satoshi satoshi messag author author ask favor hope public correct goal left blockchain satoshi blockchain keep invent satoshi matter satoshi coin direct attent author real author role invent thing dev imo doubt plenti group futur satoshi straight author corrupt real satoshi forward attent verifi attack hard hate hard onlin current author earli earli block matter verifi real satoshi explan real valu decis adam friendli world coin effect creator influenc real world surpris haven help satoshi haven malici govern satoshi financi sound close,0
32,2016-05-03,face end agreement haven fun defend posit inform differ game attack thing ask inform thing extra inform will inform public come messag verifi matter satoshi ignor satoshi claim chanc brows articl explain come satoshi inform inform satoshi coupl beg buy life author origin think insult ya satoshi easi blocksiz claim origin choos attent belief system fuck end thing miss cryptographi cryptographi satoshi satoshi attempt aren realiz lock coin valu coin effect market belief coin coin coin lock moment satoshi satoshi satoshi satoshi convinc form satoshi effect real buttcoin messag huge dick dick 2016 dick thing man owner satoshi satoshi help en en click hint hit author author lock satoshi satoshi push serious help satoshi satoshi hold mind world block forward claim claim satoshi satoshi satoshi awkward dick honest explan clever honest man event elabor honest satoshi man satoshi satoshi publicli satoshi public awkward man satoshi satoshi public public public chang satoshi onlin public imo thing public public publicli,1
33,2016-05-04,love voic,0
34,2016-05-05,,1
35,2016-05-06,highli doubt thing satoshi solid satoshi especi learn satoshi forward act live censor hot messag earli public haven forgotten realiz learn public believ satoshi doubt doubt suspect learn satoshi doubt suppos satoshi man get thing jeopardi wors blockchain satoshi satoshi fairli real belief satoshi form bias impress hold decis satoshi decis realiz real realiz convinc expos human certain satoshi doubt satoshi satoshi mind satoshi hall list achiev like straight especi learn satoshi certain matter certain chang censor commun disagre ha guy convinc suspect blockchain moment caught moment public satoshi satoshi satoshi list correct claim coupl guy inform theori convinc group happen given posit believ doubt belief satoshi satoshi wors intend start satoshi satoshi left despit straight assum problem exampl guy couldn happen bunch believ doubt belief satoshi satoshi matter doubt intend start coupl guy hope suspect satoshi displeasur satoshi bitcointalk build matter satoshi end satoshi human differ human satoshi matter natur legal lot satoshi day lot satoshi impress satoshi despit lot satoshi realiz learn public believ satoshi doubt doubt suspect learn satoshi doubt suppos satoshi man get thing jeopardi wors blockchain satoshi satoshi fairli real belief satoshi form bias impress hold decis satoshi decis realiz real realiz convinc expos satoshi fight hacker govern happen dev mail list claim respons satoshi claim satoshi luckili dr voic voic love man love larg voic forward futur andresen real thing entir familiar immedi miss forward built grew potenti satoshi impress andresen dev matter guy doubt doubt believ satoshi doubt heard believ histori develop messag earli public human love fuck weak mind self real thing ad involv andresen like lead satoshi demonstr judgement final world listen voic guy man learn experi biggest ego lead,1
36,2016-05-07,satoshi hope suspect inform caus blockchain happen day 2016 satoshi claim sound list fairli come realiz list hate hate list guy like influenc hate interestingli satoshi internet list list fun gotten fairli technolog 2016 block andresen satoshi will technolog 2016 block andresen satoshi creator world fun world differ larg public 2016 doubt,0
37,2016-05-08,,0
38,2016-06-30,end usual enemi gave hard agreement dev face ask dev month left public multipl block allow block block market blockchain block bleep bloop footer link totesmesseng messag totesmesseng necessarili larg coin hurt effect vote vote suppos vote vote decentr market market authoritarian market driven favour differ goal individu bu limit entir entir blocksiz limit choos account develop major block care advic limit blocksiz adam effect chang biggest chang limit let futur hard fast get immedi chang choos play mess differ serious favor funni differ downvot evalu market invest accur measur hit 1000 block hard 1000 block theori haven easi develop gox happi buy entir experi ask get self chang chang happen allow chang hard built hit oppos develop hard differ check hope moment end couldn realiz blocksiz world posit backbon world bunch buy bro extra manipul market day get allow world serious invest coin invest insan fuck mind explain hard blockchain develop valu natur market friendli downvot hate favor downvot fuck assum level suspect hit lock anymor push hard limit valu blocksiz suspect guy easi thing break case worst thing held thing censor call consid fun thing caus block market coin differ end shouldn blocksiz block coupl block effect limit blocksiz histori block block accept block longer event hard afaik major market buy dev fight knowledg hard hard call guy guy hard consid block accept block basic worth block research limit aren block fun huge listen ask effect limit event limit current limit blocksiz histori block hard event hard certain coin hard exist logic invest biggest posit manipul ignor start limit end goal govern fuck plenti block grow doubt worth blocker fuck ideal blocker fast die shouldn block ask block govern fuck plenti worth hard ignor work blocksiz block day fast left decentr blockchain govern valu valu will effect invest adam definit agent role blocksiz hate ignor real market block block valu invest effect adam sound approach dev listen get get block vote happen chang hate dev hard hard dev heavi hate hate valu effect allow market limit haha fun fuck manipul limit messag afaik intend fix satoshi earli real limit attack remov limit serious valu like like origin chang block accept block aren mess exact serious approach doubt chang like immedi chang choos approach like chang accur market day exact get lock end act think exampl earli think blocker call crazi develop man camp start futur think dev think blocksiz dev hard hard blindli chang financi market internet block worth effect fulli chang help admit sound aren authoritarian love authoritarian come fan chang chang chang market buy insid inform multipl differ think straight decentr develop begin begin develop hard ad think entir basi block ignor count blocker blocker haven achiev achiev market driven driven matter fix consid block accept block basic worth 2016 technic decis block valu block hurt play advic censor blocksiz joke differ guy chang hard call 2016 valu 2016 voic vote buttcoin bring happi form start thing guy month chang man disast 99 adam luke crap inform day immedi essenti world chang fuck fuck fuck attempt dude chanc anymor attempt assum troll link develop 2016 voic hard learn experi especi futur final fuck dev mother bleep bloop buttcoin hard buttcoin footer link totesmesseng messag totesmesseng fulli dev disast dev chang controversi controversi joke differ guy start block hard month blocksiz thing heard shouldn begin market appropri limit anymor work bu fall feet choos accord shouldn hard final happen block bu block heard hard love googl grow googl eye googl surpris decis keep game thing thing hold demonstr blockchain block bs longer accord chang machin 2016 2016 hard agreement 2016 hard hard count achiev addit day hard hard hard hard hard start hard differ extrem hard achiev achiev develop freedom develop hard futur hard end crap adam luke jr eli5 help buy googl goal current appear start real potenti hard final adam matter major block major longer major googl inform chang appear 1000 block funni blocker chang month blocker adam blocker messag public luke jr moment month agreement agreement adam chang hard guy block block limit blockchain world differ differ spread influenc will take serious public member deepli publicli worst thing face watch buy fund bs think real hard chang controversi 99 agreement block larg block final fall authoritarian limit decis account accord self market bunch dev bu market entir bu longer start hard censor research caus worth hard limit develop effort block futur real real real hard sound hard hard ask think suppos kid dollar market manipul begin block aren block appropri end dev fail agreement block hard hard layer start block start block immedi owner drawn idea matter blocksiz limit dunno polici crazi miss potenti mind ask research blocksiz limit chang market convinc larg start hard blocksiz hard blocksiz futur watch moral day chang act approach check chanc futur blocksiz,1
39,2016-07-01,end end altern larg altern approach end funni market aren allow haven hard publicli call adam agreement suspect agreement get brilliant matter come happen month realiz haven downvot blocksiz break influenc funni luke jr offens chang decis group listen group break come wors convinc thing influenc sound form sound differ 2016 bs brilliant love,1
40,2016-07-02,origin allow onlin financi larg level correct accord left child,1
41,2016-07-03,event blocksiz attitud group blocker crazi serious judg chang controversi idea mechan bu real basi vote block bu bu funni thing count funni funni think blocksiz left judg think vote block ignor exact couldn agreement disast disast world bore controversi funni thing exact blocksiz left bu bu bu disast disast bu honest bu ignor problem bring self extrem bu judgement bu downvot bu care limit bu,0
42,2016-07-13,afaik favor,0
43,2016-07-26,,1
44,2016-09-22,bu hate intent favor,0
45,2016-11-14,advertis larg role impress articl effect likewis controversi definit controversi market choos hard chang serious aspect hard effect intend measur hard agreement assum censor public live bitcointalk downvot 1000 ignor target attack public start publicli echo guy mislead inform accur inform bleep bloop footer link totesmesseng messag totesmesseng inform posit sticki allow effect thing thing corrupt messag effort discuss limit public thing hard level adam world hard hard left suppos ad research matter machin luck love downvot left block troll effort bs appear ask ask effect histori lesser love jesu justifi oppos oppos addit oppos internet dollar plu moder ideal hide thing advertis multipl forum multipl shouldn hard attent delusion aren usual check lead despit claim mention justifi develop justifi help block ideal remov mention delet admit attempt admit differ honest advertis multipl googl forum internet bs hard attent aren dev dev dev thing insan block idea thing hide hurt crap check assum real limit let censor internet inform inform korea differ caus built despit heavi advertis idea troll attempt get aren develop caus built haven built spread internet vote love justifi attitud hey problem korea will freedom listen explain freedom freedom furthermor troll histori hope discuss door bitcointalk decentr let develop petti adam left attack develop earli histori block definit blocksiz chang blocksiz chang chang definit chang blocksiz chang histori final stop month histori luke jr satoshi owner invent earli attent libertarian accept weak human help potenti polici eventu bitcointalk adam accur put effort articl dude entir sticki individu list dev guy block especi block let realiz advert self larg lead gave aren learn take owner click inform love,1
46,2016-11-15,hard suppos like definit likewis happen aren help convinc matter invest buy wors weak financi asap block final start come wors lower real block eventu start build start featur necessari eventu start happen hard idea idea differ happi luke jr develop market market allow market hard will market hard market lot oppos certain onlin exampl hard block block dev market featur futur claim effort hope convinc owe necessari mention level decentr hard fail research end self discuss chang technic weak caus longer built fail major develop 2016 hard issu basi hard addit list vote blocksiz definit definit definit dev real influenc necessari eventu dev market multipl forum equival world basic thing discuss spread ask crap hard likewis happen aren help convinc interfer hard extrem market market futur dev tend dev matter discuss futur dev petti given multipl public attent adam link world ha heard internet life troll world internet life troll block live internet live internet thing function hard histori level archiv like explan convinc aren worth attempt didnt polici doesent matter haha polici forum weak posit matter group haven state put market altern market allow dev attempt hold mind given market thing hard fail level exampl futur month final mention worth list articl manipul doesent break,1
47,2016-11-16,listen advic huge influenc moddiquett get attempt adam start mail list current favor hard develop en 2016 remov mind happen hard interfer hard extrem market market happen happi keep futur dev tend dev matter discuss futur dev petti posit favour matter happen happen chang act help theori realiz potenti push,1
48,2016-11-17,serious doubt dollar held 200 buy establish invest worth doubt hard valu common thing real couldn chang block exist limit hard chang chang limit,0
49,2016-11-18,left suspect thing suspect,1
50,2016-11-19,hey mention crap haha,1
51,2016-11-21,bleep bloop sticki explain necessari footer link totesmesseng messag totesmesseng,1
52,2016-11-23,chang chang attack hey bu push list censor censor freedom,0
53,2016-11-24,govern chang,0
